,game_name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
0,007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,65.0,7.1
1,007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,65.0,6.6
2,007: Quantum of Solace,Wii,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,54.0,7.5
5,007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0.0,0.0,0.03,70.0,6.3
6,1 vs. 100,DS,2008,Misc,DSI Games,0.08,0.0,0.0,0.01,0.08,38.0,3.2
7,100 Classic Books,DS,2008,Misc,Nintendo,0.12,0.52,0.0,0.02,0.66,70.0,6.0
10,1701 A.D.,PC,2006,Simulation,Deep Silver,0.0,0.25,0.0,0.04,0.3,79.0,8.3
11,187: Ride or Die,PS2,2005,Racing,Ubisoft,0.07,0.06,0.0,0.02,0.15,52.0,6.8
12,187: Ride or Die,XB,2005,Racing,Ubisoft,0.05,0.01,0.0,0.0,0.06,51.0,6.9
23,24: The Game,PS2,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,62.0,8.2
24,25 to Life,PS2,2006,Shooter,Eidos Interactive,0.35,0.01,0.0,0.06,0.42,39.0,4.9
25,25 to Life,XB,2006,Shooter,Eidos Interactive,0.12,0.04,0.0,0.01,0.17,41.0,7.2
26,300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.07,0.41,55.0,7.1
29,50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0.0,0.16,1.77,47.0,6.6
30,50 Cent: Bulletproof,XB,2005,Action,Vivendi Games,0.33,0.1,0.0,0.02,0.44,50.0,5.9
32,7 Wonders of the Ancient World,DS,2007,Puzzle,Funsta,0.1,0.01,0.0,0.01,0.13,60.0,8.3
35,A Vampyre Story,PC,2008,Adventure,Crimson Cow,0.0,0.01,0.0,0.0,0.02,75.0,8.5
42,AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games,0.21,0.01,0.0,0.02,0.24,60.0,5.3
43,AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,MTV Games,0.21,0.0,0.0,0.02,0.23,63.0,4.9
