Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,65,69,7.1,71,Treyarch,T
007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,65,42,6.6,47,Treyarch,T
007: Quantum of Solace,Wii,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,54,11,7.5,26,Treyarch,T
007: Quantum of Solace,PS2,2008,Action,Activision,0.17,0,0,0.26,0.43,,,,,,
007: Quantum of Solace,DS,2008,Action,Activision,0.11,0.01,0,0.01,0.13,65,10,tbd,,Vicarious Visions,T
007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0,0,0.03,70,18,6.3,55,Treyarch,T
1 vs. 100,DS,2008,Misc,DSI Games,0.08,0,0,0.01,0.08,38,5,3.2,5,ECI,E
100 Classic Books,DS,2008,Misc,Nintendo,0.12,0.52,0,0.02,0.66,70,7,6,12,Genius Sonority Inc.,
101-in-1 Explosive Megamix,DS,2008,Puzzle,Nordcurrent,0.05,0.12,0,0.02,0.19,46,13,tbd,,Nordcurrent,E
12Riven: The Psi-Climinal of Integral,PS2,2008,Adventure,CyberFront,0,0,0.04,0,0.04,,,,,,
1701 A.D.,PC,2006,Simulation,Deep Silver,0,0.25,0,0.04,0.3,79,30,8.3,38,Related Designs,E10+
187: Ride or Die,PS2,2005,Racing,Ubisoft,0.07,0.06,0,0.02,0.15,52,33,6.8,12,Ubisoft,M
187: Ride or Die,XB,2005,Racing,Ubisoft,0.05,0.01,0,0,0.06,51,40,6.9,8,Ubisoft Paris,M
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005,Racing,THQ,0.09,0.03,0,0,0.12,,,,,,
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,THQ,1.26,0.47,0,0.03,1.76,,,,,,
2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,THQ,1.25,0.46,0,0.03,1.75,,,,,,
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,Action,THQ,0.22,0.08,0,0.01,0.31,,,,,,
2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,THQ,1.31,0.49,0,0.03,1.83,,,,,,
2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,THQ,0.44,0.16,0,0.01,0.61,,,,,,
2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,Misc,Sega,0.04,0.02,0,0,0.06,,,,,,
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,THQ,0.33,0.12,0,0.01,0.45,,,,,,
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,Misc,Sega,0.4,0.11,0,0.02,0.53,,,,,,
2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,Activision,0.06,0.02,0,0,0.09,,,,,,
24: The Game,PS2,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.3,62,53,8.2,40,SCE Studio Cambridge,M
25 to Life,PS2,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.06,0.42,39,23,4.9,46,"Ritual Entertainment, Avalanche Software",M
25 to Life,XB,2006,Shooter,Eidos Interactive,0.12,0.04,0,0.01,0.17,41,20,7.2,13,"Ritual Entertainment, Avalanche Software",M
300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.07,0.41,55,31,7.1,14,Collision Studios,M
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005,Misc,Atari,0.1,0,0,0.01,0.11,,,,,,
428: Fuusa Sareta Shibuya de,Wii,2008,Adventure,Sega,0,0,0.13,0,0.13,,,,,,
50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77,47,21,6.6,129,Genuine Games,M
50 Cent: Bulletproof,XB,2005,Action,Vivendi Games,0.33,0.1,0,0.02,0.44,50,14,5.9,21,Genuine Games,M
50 Cent: Bulletproof,PSP,2006,Action,Vivendi Games,0.08,0,0,0.01,0.08,,,,,,
7 Wonders of the Ancient World,DS,2007,Puzzle,Funsta,0.1,0.01,0,0.01,0.13,60,7,8.3,48,Hot Lava Games,E
7 Wonders of the Ancient World,PSP,2007,Puzzle,Mumbo Jumbo,0.07,0,0,0.01,0.08,51,10,tbd,,MumboJumbo,E
99 no Namida,DS,2008,Adventure,Namco Bandai Games,0,0,0.04,0,0.04,,,,,,
A Vampyre Story,PC,2008,Adventure,Crimson Cow,0,0.01,0,0,0.02,75,33,8.5,25,Autumn Moon,T
Â¡Shin Chan Flipa en colores!,DS,2007,Platform,505 Games,0,0,0.14,0,0.14,,,,,,
A.C.E.: Another Century's Episode,PS2,2005,Simulation,Banpresto,0,0,0.26,0,0.26,,,,,,
A.C.E.: Another Century's Episode 2,PS2,2006,Simulation,Banpresto,0,0,0.18,0,0.18,,,,,,
A.C.E.: Another Century's Episode 3: The Final,PS2,2007,Simulation,Banpresto,0,0,0.26,0,0.26,,,,,,
Aa Megami-samaa,PS2,2007,Adventure,Marvelous Interactive,0,0,0.01,0,0.01,,,,,,
AC/DC LIVE: Rock Band Track Pack,Wii,2008,Misc,MTV Games,0.24,0,0,0.02,0.27,,,7.2,5,Harmonix Music Systems,T
AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games,0.21,0.01,0,0.02,0.24,60,12,5.3,14,Harmonix Music Systems,T
AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,MTV Games,0.21,0,0,0.02,0.23,63,16,4.9,10,Harmonix Music Systems,T
AC/DC LIVE: Rock Band Track Pack,PS2,2008,Misc,MTV Games,0.08,0.06,0,0.02,0.16,,,tbd,,Harmonix Music Systems,T
Ace Combat 5: The Unsung War,PS2,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84,57,9.1,81,Namco,T
Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80,54,7.9,101,Project Aces,T
Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,75,26,8.3,30,Project Aces,T
Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,75,45,8.4,55,Namco,T
Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.78,0.43,0.19,0.14,1.54,69,6,8.1,14,h.a.n.d. Inc.,E
Activision Hits: Remixed,PSP,2006,Misc,Activision,0.05,0,0,0,0.05,75,10,tbd,,Digital Eclipse,E
Advance Guardian Heroes,GBA,2004,Role-Playing,Ubisoft,0.03,0.01,0,0,0.04,65,25,tbd,,Treasure,E
Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39,90,49,9,163,Intelligent Systems,E
Advent Rising,XB,2005,Action,THQ,0.1,0.03,0,0,0.13,68,50,7.5,68,GlyphX Games,T
Adventures to Go!,PSP,2008,Role-Playing,Zushi Games,0.11,0,0.01,0.02,0.13,,,,,,
Aedis Eclipse: Generation of Chaos,PSP,2006,Role-Playing,Idea Factory,0.02,0,0,0,0.02,62,20,6.5,11,"Neverland, Idea Factory",E10+
Aeon Flux,PS2,2005,Action,THQ,0.02,0.02,0,0.01,0.04,66,19,5.8,9,Terminal Reality,T
Aeon Flux,XB,2005,Action,THQ,0.01,0,0,0,0.01,69,27,3,4,Terminal Reality,T
Afrika,PS3,2008,Adventure,Unknown,0.12,0,0.08,0.01,0.22,63,12,6.2,34,Rhino Studios,E10+
Agatha Christie: And Then There Were None,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.07,50,23,6.2,12,AWE Games,T
Agatha Christie: Death on the Nile,PC,2008,Adventure,Big Fish Games,0,0.01,0,0,0.02,,,tbd,,Oberon Media,T
Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.08,46,6,7.3,6,AWE Games,T
Age of Empires III,PC,2005,Strategy,Microsoft Game Studios,0,0.33,0,0.05,0.38,81,52,7.7,519,Ensemble Studios,T
Age of Empires III: Gold Edition,PC,2007,Strategy,Microsoft Game Studios,0,0.02,0,0,0.03,,,7.8,6,Ensemble Studios,T
Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,0,0.05,0,0.01,0.06,81,19,8.5,71,Big Huge Games,T
Age of Empires: Mythologies,DS,2008,Strategy,THQ,0.16,0.03,0,0.02,0.21,78,28,6.9,20,Griptonite Games,E10+
Age of Empires: The Age of Kings,DS,2006,Strategy,THQ,0.18,0.02,0,0.02,0.22,80,38,7.9,59,Backbone Entertainment,E10+
