game_id,game_name
101,007: Quantum of Solace
102,1 vs. 100
103,100 Classic Books
104,101-in-1 Explosive Megamix
105,12Riven: The Psi-Climinal of Integral
106,1701 A.D.
107,187: Ride or Die
108,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race
109,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures
110,2 Games in 1: Disney Princess & The Lion King
111,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2
112,2 Games in 1: Sonic Advance & ChuChu Rocket!
113,2 Games in 1: Sonic Battle & ChuChu Rocket!
114,2 Games in 1: Sonic Pinball Party & Columns Crown
115,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild
116,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe
117,24: The Game
118,25 to Life
119,2-in-1 Game Pack: Spider-Man & Spider-Man 2
120,300: March to Glory
121,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship
122,428: Fuusa Sareta Shibuya de
123,50 Cent: Bulletproof
124,7 Wonders of the Ancient World
125,99 no Namida
126,A Vampyre Story
127,A.C.E.: Another Century's Episode
128,A.C.E.: Another Century's Episode 2
129,A.C.E.: Another Century's Episode 3: The Final
130,Â¡Shin Chan Flipa en colores!
131,Aa Megami-samaa
132,AC/DC LIVE: Rock Band Track Pack
133,Ace Combat 5: The Unsung War
134,Ace Combat 6: Fires of Liberation
135,Ace Combat X: Skies of Deception
136,Ace Combat Zero: The Belkan War
137,Active Life: Outdoor Challenge
138,Activision Hits: Remixed
139,Advance Guardian Heroes
140,Advance Wars: Dual Strike
141,Advent Rising
142,Adventures to Go!
143,Aedis Eclipse: Generation of Chaos
144,Aeon Flux
145,Afrika
146,Agatha Christie: And Then There Were None
147,Agatha Christie: Death on the Nile
148,Agatha Christie: Evil Under the Sun
149,Age of Empires III
150,Age of Empires III: Gold Edition
151,Age of Empires III: The Asian Dynasties
152,Age of Empires: Mythologies
153,Age of Empires: The Age of Kings
154,AIR
155,Air Traffic Chaos
156,Airborne Troops: Countdown to D-Day
157,AirForce Delta Strike
158,Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin
159,Akai Ito DS
160,Akane Iro ni Somaru Saka Parallel
161,Akko ni Omakase! Brain Shock
162,Alfa Romeo Racing Italiano
163,Alias
164,Alien Hominid
165,Alien Syndrome
166,Aliens vs Predator: Requiem
167,All Grown Up! Express Yourself
168,All Grown Up!: Game Boy Advance Video Volume 1
169,All Star Cheer Squad
170,All-Pro Football 2K8
171,Alone in the Dark
172,Alone in the Dark: Inferno
173,Alvin and the Chipmunks
174,Amagoushi no Yakata
175,Amazing Adventures: The Forgotten Ruins
176,Amazing Island
177,American Chopper
178,American Chopper 2: Full Throttle
179,American Girl: Julie Finds a Way
180,American Girl: Kit Mystery Challenge!
181,America's Army: Rise of a Soldier
182,America's Army: True Soldiers
183,America's Next Top Model
184,AMF Bowling Pinbusters!
185,AMF Bowling World Lanes
186,AMF Xtreme Bowling
187,Amped 3
188,And1 Streetball
189,Animal Crossing: City Folk
190,Animal Crossing: Wild World
191,Animal Genius
192,Animal Paradise
193,Animaniacs: The Great Edgar Hunt
194,AniMates!
195,Anno 1701: Dawn of Discovery
196,Anubis II
197,Aoishiro
198,Ape Escape 3
199,Ape Escape Academy
200,Ape Escape Academy (jp sales)
201,Ape Escape: On the Loose
202,Ape Escape: Pumped & Primed
203,Apollo Justice: Ace Attorney
204,Aqua Teen Hunger Force: Zombie Ninja Pro-Am
205,Aquanaut's Holiday: Kakusareta Kiroku
206,Aquarium by DS
207,Ar tonelico 2: Melody of Metafalica
208,Ar tonelico: Melody of Elemia
209,Arabians Lost: The Engagement on Desert
210,Arc the Lad: End of Darkness
211,Arcade Shooting Gallery
212,Arcana Heart
213,Archer Maclean Presents: Pool Paradise
214,Archer Maclean's Mercury
215,Arctic Tale
216,Are You Smarter Than A 5th Grader?
217,Are You Smarter than a 5th Grader? Make the Grade
218,Area 51
219,Arena Football
220,Aria: The Natural ~Tooi Yume no Mirage~
221,Aria: The Origination ~Aoi Wakusei no El Cielo~
222,Arkanoid DS
223,Armored Core 4
224,Armored Core: For Answer
225,Armored Core: Formula Front Extreme Battle
226,Armored Core: Last Raven
227,Armored Core: Nexus
228,Armored Core: Nine Breaker
229,Army Men: Major Malfunction
230,Army Men: RTS
231,Army Men: Sarge's War
232,Army Men: Soldiers of Misfortune
233,Army of Two
234,Around the World in 80 Days
235,Art of Fighting Anthology
236,Arthur and the Invisibles
237,ASH: Archaic Sealed Heat
238,Asphalt: Urban GT
239,Asphalt: Urban GT 2
240,Assassin's Creed
241,Assassin's Creed: Altair's Chronicles
242,Asterix & Obelix: Kick Buttix
243,Astonishia Story
244,Astro Boy
245,Atari Anthology
246,Atari Classics Evolved
247,Atelier Iris 2: The Azoth Of Destiny
248,Atelier Iris 3: Grand Phantasm (JP Sales)
249,Atelier Iris 3: Grand Phantasm (US Sales)
250,Atelier Iris: Eternal Mana
251,Athens 2004
252,Atomic Betty
253,ATV Offroad Fury 3
254,ATV Offroad Fury Pro
255,ATV Offroad Fury: Blazin' Trails
256,ATV/Monster Truck Mayhem
257,ATV: Quad Frenzy
258,Avalon Code
259,Avatar: The Last Airbender
260,Avatar: The Last Airbender - Into the Inferno
261,Avatar: The Last Airbender - The Burning Earth
262,Away: Shuffle Dungeon
263,B-17: Fortress in the Sky
264,Baby Pals
265,Babysitting Mania
266,Back At The Barnyard: Slop Bucket Games
267,Backyard Baseball
268,Backyard Baseball '09
269,Backyard Baseball 2006
270,Backyard Basketball
271,Backyard Hockey
272,Backyard NBA Basketball
273,Backyard NFL Football
274,Backyard NFL Football '08
275,Backyard NFL Football '09
276,Backyard NFL Football 2006
277,Backyard Skateboarding 2006
278,Backyard Wrestling 2: There Goes the Neighborhood
279,Bad Boys: Miami Takedown
280,Baja: Edge of Control
281,Bakumatsu Koihana: Shinsengumi DS
282,Bakumatsu Renka: Karyuu Kenshi-den
283,Baldur's Gate: Dark Alliance
284,Baldur's Gate: Dark Alliance II
285,Balloon Pop
286,Balls of Fury
287,Bangai-O Spirits
288,Banjo-Kazooie
289,Banjo-Kazooie: Nuts & Bolts
290,Banjo-Pilot
291,Banushi Life Game: Winner's Circle
292,Barbie and the Magic of Pegasus
293,Barbie as The Island Princess
294,Barbie as the Princess and the Pauper
295,Barbie Fashion Show: An Eye for Style
296,Barbie Horse Adventures: Riding Camp
297,Barbie in The 12 Dancing Princesses
298,Barbie Superpack: Secret Agent / Groovy Games
299,Barnyard
300,Barnyard Blast: Swine of the Night
301,Baroque
302,Baten Kaitos Origins
303,Batman Begins
304,Battalion Wars
305,Battalion Wars 2
306,Battle Assault 3 featuring Gundam Seed
307,Battle Fantasia
308,Battle of Giants: Dinosaurs
309,Battle Rage
310,Battle Stadium D.O.N
311,Battlefield 1942: The WW II Anthology
312,Battlefield 2
313,Battlefield 2: Modern Combat
314,Battlefield 2: Modern Combat(JP sales)
315,Battlefield 2142
316,Battlefield Vietnam
317,Battlefield: Bad Company
318,Battles of Prince of Persia
319,Battleship / Connect Four / Sorry! / Trouble
320,Battlestations: Midway
321,Battlezone
322,B-Boy
323,Beat Down: Fists of Vengeance
324,Beatdown: Fists of Vengeance
325,BeatMania
326,BeatMania IIDX 11: IIDX Red
327,BeatMania IIDX 13: DistorteD
328,BeatMania IIDX 14 Gold
329,BeatMania IIDX 15: DJ Troopers
330,Beautiful Katamari
331,Bee Movie Game
332,Beijing 2008
333,Bejeweled 2 Deluxe
334,Bejeweled Twist
335,Bella Sara
336,Ben 10: Alien Force
337,Ben 10: Protector of Earth
338,Bentley's Hackpack
339,Beowulf: The Game
340,Best Of Tests
341,Betty Boop's Double Shift
342,Beyblade G-Revolution
343,Bicycle Casino 2005
344,Big Beach Sports
345,Big Brain Academy
346,Big Brain Academy: Wii Degree
347,Big Idea's VeggieTales: LarryBoy and the Bad Apple
348,Big League Sports
349,Big Mutha Truckers
350,Big Mutha Truckers 2
351,Bigfoot: Collision Course
352,Biker Mice From Mars
353,Billy the Wizard: Rocket Broomstick Racing
354,Bionicle Heroes
355,BioShock
356,Black
357,Black & White 2
358,Black Cat
359,Blacksite: Area 51
360,Blade Dancer: Lineage of Light
361,Bladestorm: The Hundred Years' War
362,"Blast Works: Build, Trade, Destroy"
363,Blazer Drive
364,Blazing Angels 2: Secret Missions of WWII
365,Blazing Angels: Squadrons of WWII
366,Blazing Souls
367,Bleach GC: Tasogare Ni Mamieru Shinigami
368,Bleach: Blade Battlers
369,Bleach: Blade Battlers 2nd
370,Bleach: Dark Souls
371,Bleach: Dark Souls (JP sales)
372,Bleach: Erabareshi Tamashii
373,Bleach: Hanatareshi Yabou
374,Bleach: Heat the Soul
375,Bleach: Heat the Soul 3
