Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
PS2,2006,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17,,,,,,
PS2,2006,Role-Playing,Namco Bandai Games,0.11,0.09,0,0.03,0.23,,,,,,
PS2,2006,Role-Playing,Namco Bandai Games,0,0,0.16,0,0.16,,,,,,
PS2,2007,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17,,,,,,
X360,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,65,69,7.1,71,Treyarch,T
PS3,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,65,42,6.6,47,Treyarch,T
Wii,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,54,11,7.5,26,Treyarch,T
PS2,2008,Action,Activision,0.17,0,0,0.26,0.43,,,,,,
DS,2008,Action,Activision,0.11,0.01,0,0.01,0.13,65,10,tbd,,Vicarious Visions,T
PC,2008,Action,Activision,0.01,0.01,0,0,0.03,70,18,6.3,55,Treyarch,T
DS,2008,Misc,DSI Games,0.08,0,0,0.01,0.08,38,5,3.2,5,ECI,E
DS,2008,Misc,Nintendo,0.12,0.52,0,0.02,0.66,70,7,6,12,Genius Sonority Inc.,
DS,2008,Puzzle,Nordcurrent,0.05,0.12,0,0.02,0.19,46,13,tbd,,Nordcurrent,E
PS2,2008,Adventure,CyberFront,0,0,0.04,0,0.04,,,,,,
PC,2006,Simulation,Deep Silver,0,0.25,0,0.04,0.3,79,30,8.3,38,Related Designs,E10+
PS2,2005,Racing,Ubisoft,0.07,0.06,0,0.02,0.15,52,33,6.8,12,Ubisoft,M
XB,2005,Racing,Ubisoft,0.05,0.01,0,0,0.06,51,40,6.9,8,Ubisoft Paris,M
GBA,2005,Racing,THQ,0.09,0.03,0,0,0.12,,,,,,
GBA,2007,Action,THQ,1.26,0.47,0,0.03,1.76,,,,,,
GBA,2004,Misc,THQ,1.25,0.46,0,0.03,1.75,,,,,,
GBA,2005,Action,THQ,0.22,0.08,0,0.01,0.31,,,,,,
GBA,2005,Misc,THQ,1.31,0.49,0,0.03,1.83,,,,,,
GBA,2005,Misc,THQ,0.44,0.16,0,0.01,0.61,,,,,,
GBA,2005,Misc,Sega,0.04,0.02,0,0,0.06,,,,,,
GBA,2005,Platform,THQ,0.33,0.12,0,0.01,0.45,,,,,,
XB,2004,Misc,Sega,0.4,0.11,0,0.02,0.53,,,,,,
PS2,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.3,62,53,8.2,40,SCE Studio Cambridge,M
PS2,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.06,0.42,39,23,4.9,46,"Ritual Entertainment, Avalanche Software",M
XB,2006,Shooter,Eidos Interactive,0.12,0.04,0,0.01,0.17,41,20,7.2,13,"Ritual Entertainment, Avalanche Software",M
GBA,2005,Platform,Activision,0.06,0.02,0,0,0.09,,,,,,
PSP,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.07,0.41,55,31,7.1,14,Collision Studios,M
DS,2005,Misc,Atari,0.1,0,0,0.01,0.11,,,,,,
Wii,2008,Adventure,Sega,0,0,0.13,0,0.13,,,,,,
PS2,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77,47,21,6.6,129,Genuine Games,M
XB,2005,Action,Vivendi Games,0.33,0.1,0,0.02,0.44,50,14,5.9,21,Genuine Games,M
PSP,2006,Action,Vivendi Games,0.08,0,0,0.01,0.08,,,,,,
DS,2007,Puzzle,Funsta,0.1,0.01,0,0.01,0.13,60,7,8.3,48,Hot Lava Games,E
PSP,2007,Puzzle,Mumbo Jumbo,0.07,0,0,0.01,0.08,51,10,tbd,,MumboJumbo,E
DS,2008,Adventure,Namco Bandai Games,0,0,0.04,0,0.04,,,,,,
PC,2008,Adventure,Crimson Cow,0,0.01,0,0,0.02,75,33,8.5,25,Autumn Moon,T
PS2,2005,Simulation,Banpresto,0,0,0.26,0,0.26,,,,,,
PS2,2006,Simulation,Banpresto,0,0,0.18,0,0.18,,,,,,
PS2,2007,Simulation,Banpresto,0,0,0.26,0,0.26,,,,,,
DS,2007,Platform,505 Games,0,0,0.14,0,0.14,,,,,,
PS2,2007,Adventure,Marvelous Interactive,0,0,0.01,0,0.01,,,,,,
Wii,2008,Misc,MTV Games,0.24,0,0,0.02,0.27,,,7.2,5,Harmonix Music Systems,T
PS3,2008,Misc,MTV Games,0.21,0.01,0,0.02,0.24,60,12,5.3,14,Harmonix Music Systems,T
X360,2008,Misc,MTV Games,0.21,0,0,0.02,0.23,63,16,4.9,10,Harmonix Music Systems,T
PS2,2008,Misc,MTV Games,0.08,0.06,0,0.02,0.16,,,tbd,,Harmonix Music Systems,T
PS2,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84,57,9.1,81,Namco,T
X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80,54,7.9,101,Project Aces,T
PSP,2006,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,75,26,8.3,30,Project Aces,T
PS2,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,75,45,8.4,55,Namco,T
Wii,2008,Sports,Atari,0.78,0.43,0.19,0.14,1.54,69,6,8.1,14,h.a.n.d. Inc.,E
PSP,2006,Misc,Activision,0.05,0,0,0,0.05,75,10,tbd,,Digital Eclipse,E
GBA,2004,Role-Playing,Ubisoft,0.03,0.01,0,0,0.04,65,25,tbd,,Treasure,E
DS,2005,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39,90,49,9,163,Intelligent Systems,E
XB,2005,Action,THQ,0.1,0.03,0,0,0.13,68,50,7.5,68,GlyphX Games,T
PSP,2008,Role-Playing,Zushi Games,0.11,0,0.01,0.02,0.13,,,,,,
PSP,2006,Role-Playing,Idea Factory,0.02,0,0,0,0.02,62,20,6.5,11,"Neverland, Idea Factory",E10+
PS2,2005,Action,THQ,0.02,0.02,0,0.01,0.04,66,19,5.8,9,Terminal Reality,T
XB,2005,Action,THQ,0.01,0,0,0,0.01,69,27,3,4,Terminal Reality,T
PS3,2008,Adventure,Unknown,0.12,0,0.08,0.01,0.22,63,12,6.2,34,Rhino Studios,E10+
Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.07,50,23,6.2,12,AWE Games,T
PC,2008,Adventure,Big Fish Games,0,0.01,0,0,0.02,,,tbd,,Oberon Media,T
Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.08,46,6,7.3,6,AWE Games,T
PC,2005,Strategy,Microsoft Game Studios,0,0.33,0,0.05,0.38,81,52,7.7,519,Ensemble Studios,T
PC,2007,Strategy,Microsoft Game Studios,0,0.02,0,0,0.03,,,7.8,6,Ensemble Studios,T
PC,2007,Strategy,Microsoft Game Studios,0,0.05,0,0.01,0.06,81,19,8.5,71,Big Huge Games,T
DS,2008,Strategy,THQ,0.16,0.03,0,0.02,0.21,78,28,6.9,20,Griptonite Games,E10+
DS,2006,Strategy,THQ,0.18,0.02,0,0.02,0.22,80,38,7.9,59,Backbone Entertainment,E10+
PSP,2007,Adventure,Prototype,0,0,0.02,0,0.02,,,,,,
DS,2007,Simulation,Ertain,0.05,0,0,0,0.05,66,8,tbd,,Sonic Powered,E
PS2,2005,Shooter,Playlogic Game Factory,0.06,0.05,0,0.02,0.12,39,4,8.1,9,WideScreen Games,T
PS2,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0,0.01,0.11,66,22,7,6,KCE Studios,T
DS,2008,Adventure,Marvelous Interactive,0,0,0.06,0,0.06,,,,,,
DS,2008,Adventure,Alchemist,0,0,0.02,0,0.02,,,,,,
PS2,2008,Adventure,GN Software,0,0,0.03,0,0.03,,,,,,
DS,2006,Misc,Taito,0,0,0.04,0,0.04,,,,,,
PS2,2005,Racing,Black Bean Games,0.01,0.01,0,0,0.01,,,6.8,5,Milestone S.r.l,E
PS2,2004,Action,Acclaim Entertainment,0.05,0.04,0,0.01,0.11,64,31,8,10,Acclaim Studios Cheltenham,T
XB,2004,Action,Acclaim Entertainment,0.04,0.01,0,0,0.05,64,37,6,4,Acclaim Studios Cheltenham,T
PS2,2004,Shooter,Zoo Digital Publishing,0.05,0.04,0,0.01,0.1,78,47,8.3,13,The Behemoth,T
GC,2004,Shooter,O3 Entertainment,0.07,0.02,0,0,0.09,78,28,8.5,15,The Behemoth,T
PSP,2007,Role-Playing,Sega,0.07,0,0,0.01,0.08,51,20,6,9,Totally Games,T
Wii,2007,Role-Playing,Sega,0.05,0,0,0,0.06,48,24,7.1,23,Totally Games,T
PSP,2007,Action,Vivendi Games,0.03,0.12,0,0.07,0.22,49,34,5.6,19,Rebellion,T
GBA,2004,Misc,THQ,0.13,0.05,0,0,0.18,,,,,,
GBA,2004,Misc,N/A,0.17,0.06,0,0,0.24,,,,,,
Wii,2008,Sports,THQ,0.43,0.29,0,0.08,0.79,,,5.2,10,Gorilla Games,E
DS,2008,Sports,THQ,0.26,0,0,0.02,0.28,,,tbd,,Gorilla Games,E
X360,2007,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26,75,22,6.8,52,Visual Concepts,E10+
PS3,2007,Sports,Take-Two Interactive,0.14,0,0,0.01,0.15,73,23,7.3,21,Visual Concepts,E10+
X360,2008,Adventure,Atari,0.14,0.3,0,0.05,0.48,58,53,5.7,162,Eden Studios,M
Wii,2008,Adventure,Atari,0.09,0.08,0,0.02,0.18,39,10,4.4,34,Hydravision,M
PS2,2008,Adventure,Atari,0.03,0.02,0,0.01,0.06,47,10,5.4,24,Hydravision,M
PC,2008,Adventure,Atari,0,0.01,0,0,0.01,55,19,5.7,148,Eden Studios,M
PS3,2008,Adventure,Atari,0.09,0.03,0,0.02,0.13,69,25,5.6,50,Eden Studios,M
DS,2007,Misc,Brash Entertainment,0.12,0,0,0.01,0.14,,,tbd,,Sensory Sweep,E
PS2,2007,Misc,Brash Entertainment,0.04,0.03,0,0.01,0.07,33,5,4.5,6,Sensory Sweep,E
Wii,2007,Misc,Eidos Interactive,0.05,0,0,0,0.05,30,4,3.6,20,Sensory Sweep,E
PS2,2007,Adventure,Nippon Ichi Software,0,0,0.02,0,0.02,,,,,,
DS,2008,Adventure,PopCap Games,0.13,0.08,0,0.02,0.24,,,tbd,,Black Lantern Studios,E
GC,2004,Strategy,Sega,0.04,0.01,0,0,0.06,59,22,6.6,7,Hitmaker,E
PS2,2004,Racing,Zoo Digital Publishing,0.35,0.01,0,0.06,0.42,47,4,7.5,13,Creat Studios,T
XB,2004,Racing,Zoo Digital Publishing,0.11,0.03,0,0.01,0.15,44,6,5.9,9,Creat Studios,T
PS2,2005,Racing,Zoo Digital Publishing,0.09,0.07,0,0.02,0.18,,,8.1,9,Creat Studios,T
GC,2005,Racing,Activision,0.04,0.01,0,0,0.05,54,4,tbd,,Creat Studios,T
XB,2005,Racing,Zoo Digital Publishing,0.04,0.01,0,0,0.05,,,tbd,,Creat Studios,T
DS,2007,Adventure,THQ,0.1,0,0,0.01,0.1,,,tbd,,Webfoot Technologies,E
DS,2008,Adventure,THQ,0.42,0,0,0.03,0.45,,,tbd,,Webfoot Technologies,E
XB,2005,Shooter,Ubisoft,0.19,0.05,0,0.01,0.25,70,19,7.4,21,Secret Level,T
X360,2007,Shooter,Ubisoft,0.08,0,0,0.01,0.08,43,11,6.7,55,Red Storm Entertainment,T
DS,2008,Action,Eidos Interactive,0.1,0,0,0.01,0.1,,,tbd,,Arts Software,E10+
Wii,2007,Sports,Bethesda Softworks,0.84,0,0,0.07,0.91,,,,,,
DS,2008,Sports,Vir2L Studios,0.06,0,0,0,0.07,,,,,,
Wii,2008,Sports,Bethesda Softworks,0.33,0,0,0.03,0.35,,,1.1,10,Vir2L Studios,E
PS2,2006,Sports,Mastertronic,0.01,0.01,0,0,0.02,30,4,4.2,5,"Atomic Planet Entertainment, Mud Duck Productions",E
X360,2005,Sports,Take-Two Interactive,0.13,0.02,0,0.01,0.16,72,49,7.1,36,2K Sports,T
PS2,2006,Action,Ubisoft,0.13,0.1,0,0.03,0.27,,,,,,
XB,2006,Action,Ubisoft,0.06,0.02,0,0,0.07,,,,,,
Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73,50,7.6,119,Nintendo,E
DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86,57,8.7,242,Nintendo,E
DS,2007,Puzzle,Ubisoft,0.1,0,0,0.01,0.11,,,tbd,,Big Blue Bubble Inc.,E
DS,2007,Simulation,Empire Interactive,0.09,0.14,0,0.02,0.25,49,7,tbd,,Empire Interactive,E
GC,2005,Platform,Ignition Entertainment,0.02,0.01,0,0,0.03,65,14,tbd,,Warthog,E
DS,2007,Simulation,Lexicon Entertainment,0.02,0,0,0,0.03,33,4,2.5,4,Dreamcatcher,E
DS,2007,Simulation,Touchstone,0.07,0.05,0,0.01,0.13,78,14,7.5,19,Sunflowers Interactive,E
Wii,2007,Platform,Metro 3D,0.06,0,0,0,0.07,19,5,2.7,28,Data Design Interactive,E
PS2,2008,Adventure,Success,0,0,0.02,0,0.02,,,,,,
PS2,2005,Platform,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,77,51,8.5,22,SCE Japan Studio,E10+
PSP,2004,Misc,Sony Computer Entertainment,0.13,0.15,0,0.05,0.33,51,48,5.8,4,Shift,E10+
PSP,2004,Misc,Sony Computer Entertainment,0,0,0.13,0,0.14,,,,,,
PSP,2005,Platform,Sony Computer Entertainment,0.52,0,0.12,0.05,0.7,66,35,6.4,16,"SCEA, Sims",E
PS2,2004,Misc,Sony Computer Entertainment,0.04,0.03,0,0.01,0.08,,,,,,
DS,2007,Adventure,Capcom,0.28,0.04,0.64,0.03,0.99,78,48,8.1,84,Capcom,T
PS2,2007,Racing,Midway Games,0.03,0.03,0,0.01,0.07,37,19,5.9,10,Creat Studios,M
PS3,2008,Adventure,Sony Computer Entertainment,0,0,0.04,0,0.04,,,,,,
DS,2008,Simulation,Mercury Games,0.05,0,0,0,0.06,,,tbd,,,
PS2,2007,Role-Playing,Nippon Ichi Software,0.04,0.03,0.11,0.01,0.18,,,,,,
PS2,2006,Role-Playing,505 Games,0,0,0.1,0,0.1,71,30,7.7,43,Gust,T
PS2,2007,Adventure,Prototype,0,0,0.02,0,0.02,,,,,,
PS2,2004,Role-Playing,Sony Computer Entertainment,0.03,0.02,0,0.01,0.06,59,24,4.2,10,Cattle Call,T
Wii,2008,Shooter,Zoo Games,0.18,0,0,0.01,0.19,,,tbd,,Zoo Games,E10+
PS2,2007,Fighting,AQ Interactive,0.06,0.05,0.04,0.02,0.16,77,12,8.1,8,Examu,T
PS2,2004,Sports,Ignition Entertainment,0.03,0.02,0,0.01,0.06,,,,,,
GC,2004,Sports,Ignition Entertainment,0.02,0.01,0,0,0.03,,,,,,
PSP,2005,Puzzle,Ignition Entertainment,0.17,0.24,0,0.14,0.56,75,39,6.6,21,Awesome Studios,E
DS,2007,Adventure,Zoo Digital Publishing,0.13,0,0,0.01,0.14,38,4,tbd,,Atomic Planet Entertainment,E
Wii,2007,Adventure,Zoo Digital Publishing,0.04,0,0,0,0.04,,,tbd,,Atomic Planet Entertainment,E
DS,2007,Misc,Mindscape,0.48,0,0,0.04,0.53,,,tbd,,ValuSoft,E
Wii,2008,Misc,THQ,0.5,0,0,0.04,0.54,,,tbd,,THQ,E
DS,2008,Misc,THQ,0.36,0,0,0.03,0.39,,,tbd,,THQ,E
PS2,2005,Shooter,Midway Games,0.22,0.17,0,0.06,0.45,75,37,8.4,52,Midway Studios - Austin,M
XB,2005,Shooter,Midway Games,0.22,0.06,0,0.01,0.29,72,43,8.1,16,Midway Studios - Austin,M
PS2,2006,Sports,Electronic Arts,0.28,0.22,0,0.07,0.56,66,18,8.6,14,EA Tiburon,E10+
XB,2006,Sports,Electronic Arts,0.11,0.03,0,0.01,0.15,65,17,8.5,10,EA Tiburon,E10+
